Country,Transactions Qty,Amount Deposit,Amount Withdrawal
Albania,115,907,523
Algeria,3,13824,20341
American Samoa,26,155,61
Andorra,31,77,155
Angola,4,33,7
Anguilla,30,286,153
Antigua And Barbuda,77,174,282
Argentina,3,15371,8303
Armenia,411,691,3060
Aruba,81,578,313
Australia,22,85412,103903
Austria,1,12461,1381
Azerbaijan,723,2598,1099
Bahamas,691,3144,2003
Bahrain,160,1247,1193
Bangladesh,10,92845,59912
Barbados,214,1679,612
Belgium,4,15999,29373
Belize,14,70901,50814
Benin,68,392,425
Bermuda,4,34,4
Bolivia,319,171,354
Bosnia and Herzegovina,2,12255,3721
Botswana,694,5547,2951
Brazil,15,12736,23833
British Indian Ocean Territory,4,5,0
Brunei,107,7,12
Bulgaria,5,8992,27104
Burkina Faso,117,385,892
Burundi,152,3,690
